UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure,Temp_Diff,Torque_RPM_Ratio,Air temperature [K]_Rolling_Mean,Air temperature [K]_Rolling_Std,Process temperature [K]_Rolling_Mean,Process temperature [K]_Rolling_Std,Torque [Nm]_Rolling_Mean,Torque [Nm]_Rolling_Std
1,M14860,M,0.30434782608695343,0.3580246913580325,0.22293364377182778,0.5357142857142856,0.0,0,0,0,0,0,0,1,0.6444444444444437,0.42034251967805214,0.30396475770925235,,0.35768261964735615,,0.5734138972809667,
2,L47181,L,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.5837912087912087,0.011857707509881422,0,0,0,0,0,0,1,0.6444444444444437,0.504934773292076,0.309471365638764,0.3100868365081746,0.36397984886649226,0.27317918232974503,0.6262839879154077,0.06825981956918206
3,L47182,L,0.30434782608695343,0.3456790123456841,0.19208381839348088,0.6263736263736263,0.01976284584980237,0,0,0,0,0,0,1,0.6222222222222167,0.5064348596192314,0.3076358296622672,0.25318484179956535,0.35768261964734904,0.386333704608663,0.6751258811681772,0.10276241089731653
4,L47183,L,0.3152173913043441,0.3580246913580325,0.15424912689173464,0.49038461538461536,0.02766798418972332,0,0,0,0,0,0,1,0.6222222222222296,0.4198538490525719,0.309471365638764,0.25318484179959533,0.35768261964735615,0.3154401489101154,0.624773413897281,0.14385666279592382
5,L47184,L,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.4972527472527473,0.035573122529644265,0,0,0,0,0,0,1,0.6444444444444437,0.43336291034225904,0.31057268722466347,0.24019223073485854,0.36020151133501344,0.32322996754894423,0.5975830815709969,0.14118538426168856
6,M14865,M,0.30434782608695343,0.3580246913580325,0.1495925494761351,0.5233516483516483,0.043478260869565216,0,0,0,0,0,0,1,0.6444444444444437,0.4492693632515602,0.31057268722466347,0.24019223073485854,0.36020151133501344,0.32322996754894423,0.59214501510574,0.14374473688583336
7,L47186,L,0.30434782608695343,0.3580246913580325,0.2270081490104774,0.5302197802197801,0.05533596837944664,0,0,0,0,0,0,1,0.6444444444444437,0.41425257982830005,0.3083700440528645,0.2401922307348073,0.35768261964735615,0.2731791823296751,0.5685800604229606,0.13074182387579392
8,L47187,L,0.30434782608695343,0.3580246913580325,0.20896391152502913,0.5,0.06324110671936758,0,0,0,0,0,0,1,0.6444444444444437,0.4000443969369682,0.3083700440528645,0.2401922307348073,0.36020151133501344,0.17277368510093866,0.5129909365558912,0.018035606303569422
9,M14868,M,0.3260869565217348,0.3703703703703738,0.29045401629802103,0.34065934065934067,0.07114624505928853,0,0,0,0,0,0,1,0.6222222222222167,0.25337045298399996,0.31057268722466347,0.3922322703208137,0.3627204030226636,0.21160368473892782,0.44712990936555885,0.2026864773051968
10,M14869,M,0.3478260869565162,0.4074074074074119,0.33352735739231665,0.3324175824175824,0.08300395256916995,0,0,0,0,0,0,1,0.6444444444444437,0.23619330242595815,0.3171806167400888,0.7844645406416438,0.3702770780856426,0.6691496050588389,0.37462235649546816,0.2686482299552393
11,H29424,H,0.3369565217391255,0.3950617283950635,0.35739231664726423,0.2760989010989011,0.09486166007905138,0,0,0,0,0,0,1,0.6444444444444437,0.19347164172958337,0.3237885462555141,0.7844645406416438,0.37783375314861445,0.7018100265353601,0.2658610271903322,0.30559772243936856
12,H29425,H,0.35869565217391397,0.4197530864197603,0.1484284051222352,0.5563186813186812,0.11462450592885375,0,0,0,0,0,0,1,0.6444444444444437,0.476908467939879,0.3348017621145374,0.8435273923827868,0.3904282115869009,0.8011186208437963,0.27734138972809663,0.3302811282280562
13,M14872,M,0.35869565217391397,0.4197530864197603,0.09953434225844005,0.6497252747252747,0.13438735177865613,0,0,0,0,0,0,1,0.6444444444444437,0.5893808665549182,0.34581497797356775,0.5717718749622365,0.4030226700251873,0.6464599350989351,0.3432024169184288,0.45800898281187663
14,M14873,M,0.35869565217391397,0.4320987654321016,0.3341094295692667,0.3598901098901099,0.14624505928853754,0,0,0,0,0,0,1,0.6666666666666583,0.2544104274334245,0.3524229074889931,0.39223227032176294,0.41561712846347376,0.4404881958843513,0.35166163141993956,0.4505154774658547
15,L47194,L,0.35869565217391397,0.4320987654321016,0.5046565774155997,0.2170329670329671,0.15810276679841895,0,0,0,0,0,0,1,0.6666666666666583,0.13300057999403742,0.35462555066079915,0.39223227032182567,0.42065491183878834,0.4731602233672353,0.30090634441087605,0.5260703352762321
16,L47195,L,0.35869565217391397,0.4320987654321016,0.2176949941792783,0.6126373626373626,0.1660079051383399,0,0,0,0,0,0,1,0.6666666666666583,0.48100970510170216,0.3590308370044113,0.0,0.4282115869017673,0.211603684743574,0.44894259818731086,0.5245486411262484
17,M14876,M,0.35869565217391397,0.4320987654321016,0.08323632130384173,0.5879120879120879,0.17391304347826086,0,0,0,0,0,0,1,0.6666666666666583,0.5475132422128263,0.3590308370044113,0.0,0.4307304785894104,0.17277368510702495,0.46283987915407854,0.5361230325771038
18,M14877,M,0.36956521739129755,0.4320987654321016,0.14086146682188594,0.5741758241758241,0.18577075098814227,0,0,0,0,0,0,1,0.6444444444444437,0.4962475299477258,0.36123348017621026,0.1961161351627068,0.4332493702770748,0.0,0.42960725075528716,0.49365754517651594
19,H29432,H,0.38043478260869534,0.4320987654321016,0.08032596041909201,0.6964285714285714,0.1976284584980237,0,0,0,0,0,0,1,0.6222222222222167,0.6464483468519057,0.3656387665198295,0.3922322703221217,0.4332493702770748,0.0,0.577643504531722,0.5280223010106894
20,M14879,M,0.3913043478260789,0.44444444444444997,0.270081490104773,0.3942307692307692,0.21739130434782608,0,0,0,0,0,0,1,0.6222222222222296,0.2974810666154889,0.37224669603524774,0.5717718749626439,0.43576826196473206,0.1727736851076265,0.6555891238670694,0.3010847299061348
21,H29434,H,0.3913043478260789,0.44444444444444997,0.12048894062863802,0.5343406593406593,0.2292490118577075,0,0,0,0,0,0,1,0.6222222222222296,0.47567892225688374,0.37885462555066596,0.5717718749627371,0.43828715365238935,0.21160368474453375,0.6211480362537763,0.2966283822956817
22,L47201,L,0.38043478260869534,0.44444444444444997,0.1641443538998837,0.5631868131868131,0.24901185770750986,0,0,0,0,0,0,1,0.6444444444444437,0.47315169511480704,0.3832599118942781,0.3668996928960331,0.44080604534005374,0.21160368474484448,0.6102719033232628,0.2930674535076248
23,M14882,M,0.3913043478260789,0.44444444444444997,0.24039580908032598,0.3695054945054945,0.2569169960474308,0,0,0,0,0,0,1,0.6222222222222296,0.2895451645331586,0.38766519823789025,0.24019223073778231,0.44332493702771103,0.1727736851087682,0.5202416918429001,0.3704736561943306
